Year;Country;Source;Emission
1850;Brunei;Energy;0.08540
1851;Brunei;Energy;0.08590
1852;Brunei;Energy;0.08640
1853;Brunei;Energy;0.08690
1854;Brunei;Energy;0.08740
1855;Brunei;Energy;0.08790
1856;Brunei;Energy;0.08840
1857;Brunei;Energy;0.08890
1858;Brunei;Energy;0.08940
1859;Brunei;Energy;0.09000
1860;Brunei;Energy;0.09050
1861;Brunei;Energy;0.09100
1862;Brunei;Energy;0.09160
1863;Brunei;Energy;0.09210
1864;Brunei;Energy;0.09270
1865;Brunei;Energy;0.09320
1866;Brunei;Energy;0.09380
1867;Brunei;Energy;0.09430
1868;Brunei;Energy;0.09490
1869;Brunei;Energy;0.09550
1870;Brunei;Energy;0.09610
1871;Brunei;Energy;0.09660
1872;Brunei;Energy;0.09720
1873;Brunei;Energy;0.09780
1874;Brunei;Energy;0.09840
1875;Brunei;Energy;0.09900
1876;Brunei;Energy;0.09960
1877;Brunei;Energy;0.10000
1878;Brunei;Energy;0.10100
1879;Brunei;Energy;0.10100
1880;Brunei;Energy;0.10200
1881;Brunei;Energy;0.10300
1882;Brunei;Energy;0.10300
1883;Brunei;Energy;0.10400
1884;Brunei;Energy;0.10500
1885;Brunei;Energy;0.10500
1886;Brunei;Energy;0.10600
1887;Brunei;Energy;0.10700
1888;Brunei;Energy;0.10700
1889;Brunei;Energy;0.10800
1890;Brunei;Energy;0.13500
1891;Brunei;Energy;0.13500
1892;Brunei;Energy;0.13500
1893;Brunei;Energy;0.13500
1894;Brunei;Energy;0.13500
1895;Brunei;Energy;0.13500
1896;Brunei;Energy;0.13500
1897;Brunei;Energy;0.13500
1898;Brunei;Energy;0.13500
1899;Brunei;Energy;0.13500
1900;Brunei;Energy;0.13500
1901;Brunei;Energy;0.14500
1902;Brunei;Energy;0.17000
1903;Brunei;Energy;0.21000
1904;Brunei;Energy;0.26100
1905;Brunei;Energy;0.32100
1906;Brunei;Energy;0.38800
1907;Brunei;Energy;0.45900
1908;Brunei;Energy;0.53200
1909;Brunei;Energy;0.60400
1910;Brunei;Energy;0.67400
1911;Brunei;Energy;0.74100
1912;Brunei;Energy;0.80900
1913;Brunei;Energy;0.88000
1914;Brunei;Energy;0.95400
1915;Brunei;Energy;1.03000
1916;Brunei;Energy;1.12000
1917;Brunei;Energy;1.22000
1918;Brunei;Energy;1.32000
1919;Brunei;Energy;1.43000
1920;Brunei;Energy;1.56000
1921;Brunei;Energy;1.71000
1922;Brunei;Energy;1.88000
1923;Brunei;Energy;2.07000
1924;Brunei;Energy;2.29000
1925;Brunei;Energy;2.54000
1926;Brunei;Energy;2.82000
1927;Brunei;Energy;3.14000
1928;Brunei;Energy;3.49000
1929;Brunei;Energy;3.88000
1930;Brunei;Energy;4.31000
1931;Brunei;Energy;5.03000
1932;Brunei;Energy;6.19000
1933;Brunei;Energy;7.68000
1934;Brunei;Energy;9.41000
1935;Brunei;Energy;11.20000
1936;Brunei;Energy;12.90000
1937;Brunei;Energy;14.60000
1938;Brunei;Energy;15.90000
1939;Brunei;Energy;19.20000
1940;Brunei;Energy;19.80000
1941;Brunei;Energy;18.50000
1942;Brunei;Energy;17.00000
1943;Brunei;Energy;16.60000
1944;Brunei;Energy;15.80000
1945;Brunei;Energy;12.80000
1946;Brunei;Energy;11.30000
1947;Brunei;Energy;14.40000
1948;Brunei;Energy;7.96000
1949;Brunei;Energy;18.60000
1950;Brunei;Energy;7.25000
1951;Brunei;Energy;7.38000
1952;Brunei;Energy;8.10000
1953;Brunei;Energy;9.20000
1954;Brunei;Energy;10.60000
1955;Brunei;Energy;12.10000
1956;Brunei;Energy;13.90000
1957;Brunei;Energy;15.80000
1958;Brunei;Energy;17.70000
1959;Brunei;Energy;19.50000
1960;Brunei;Energy;21.30000
1961;Brunei;Energy;22.70000
1962;Brunei;Energy;24.00000
1963;Brunei;Energy;25.20000
1964;Brunei;Energy;26.40000
1965;Brunei;Energy;27.70000
1966;Brunei;Energy;29.40000
1967;Brunei;Energy;31.30000
1968;Brunei;Energy;33.80000
1969;Brunei;Energy;36.90000
1970;Brunei;Energy;44.20000
1971;Brunei;Energy;40.00000
1972;Brunei;Energy;49.70000
1973;Brunei;Energy;52.70000
1974;Brunei;Energy;40.40000
1975;Brunei;Energy;34.10000
1976;Brunei;Energy;30.90000
1977;Brunei;Energy;29.20000
1978;Brunei;Energy;38.10000
1979;Brunei;Energy;26.40000
1980;Brunei;Energy;26.30000
1981;Brunei;Energy;9.60000
1982;Brunei;Energy;13.10000
1983;Brunei;Energy;12.90000
1984;Brunei;Energy;6.03000
1985;Brunei;Energy;6.51000
1986;Brunei;Energy;5.64000
1987;Brunei;Energy;6.83000
1988;Brunei;Energy;9.18000
1989;Brunei;Energy;9.86000
1990;Brunei;Energy;9.86000
1991;Brunei;Energy;9.85000
1992;Brunei;Energy;9.80000
1993;Brunei;Energy;9.09000
1994;Brunei;Energy;8.96000
1995;Brunei;Energy;9.18000
1996;Brunei;Energy;9.12000
1997;Brunei;Energy;9.33000
1998;Brunei;Energy;9.51000
1999;Brunei;Energy;8.43000
2000;Brunei;Energy;9.41000
2001;Brunei;Energy;9.51000
2002;Brunei;Energy;9.08000
2003;Brunei;Energy;9.65000
2004;Brunei;Energy;9.75000
2005;Brunei;Energy;9.62000
2006;Brunei;Energy;10.20000
2007;Brunei;Energy;13.60000
2008;Brunei;Energy;15.30000
2009;Brunei;Energy;13.10000
2010;Brunei;Energy;13.10000
2011;Brunei;Energy;14.80000
2012;Brunei;Energy;14.60000
2013;Brunei;Energy;12.60000
2014;Brunei;Energy;13.90000
2015;Brunei;Energy;14.30000
2016;Brunei;Energy;15.60000
2017;Brunei;Energy;16.00000
2018;Brunei;Energy;20.00000
1850;Brunei;Industrial Processes and Product Use;0.00000
1851;Brunei;Industrial Processes and Product Use;0.00000
1852;Brunei;Industrial Processes and Product Use;0.00000
1853;Brunei;Industrial Processes and Product Use;0.00000
1854;Brunei;Industrial Processes and Product Use;0.00000
1855;Brunei;Industrial Processes and Product Use;0.00000
1856;Brunei;Industrial Processes and Product Use;0.00000
1857;Brunei;Industrial Processes and Product Use;0.00000
1858;Brunei;Industrial Processes and Product Use;0.00000
1859;Brunei;Industrial Processes and Product Use;0.00000
1860;Brunei;Industrial Processes and Product Use;0.00000
1861;Brunei;Industrial Processes and Product Use;0.00000
1862;Brunei;Industrial Processes and Product Use;0.00000
1863;Brunei;Industrial Processes and Product Use;0.00000
1864;Brunei;Industrial Processes and Product Use;0.00000
1865;Brunei;Industrial Processes and Product Use;0.00000
1866;Brunei;Industrial Processes and Product Use;0.00000
1867;Brunei;Industrial Processes and Product Use;0.00000
1868;Brunei;Industrial Processes and Product Use;0.00000
1869;Brunei;Industrial Processes and Product Use;0.00000
1870;Brunei;Industrial Processes and Product Use;0.00000
1871;Brunei;Industrial Processes and Product Use;0.00000
1872;Brunei;Industrial Processes and Product Use;0.00000
1873;Brunei;Industrial Processes and Product Use;0.00000
1874;Brunei;Industrial Processes and Product Use;0.00000
1875;Brunei;Industrial Processes and Product Use;0.00000
1876;Brunei;Industrial Processes and Product Use;0.00000
1877;Brunei;Industrial Processes and Product Use;0.00000
1878;Brunei;Industrial Processes and Product Use;0.00000
1879;Brunei;Industrial Processes and Product Use;0.00000
1880;Brunei;Industrial Processes and Product Use;0.00000
1881;Brunei;Industrial Processes and Product Use;0.00000
1882;Brunei;Industrial Processes and Product Use;0.00000
1883;Brunei;Industrial Processes and Product Use;0.00000
1884;Brunei;Industrial Processes and Product Use;0.00000
1885;Brunei;Industrial Processes and Product Use;0.00000
1886;Brunei;Industrial Processes and Product Use;0.00000
1887;Brunei;Industrial Processes and Product Use;0.00000
1888;Brunei;Industrial Processes and Product Use;0.00000
1889;Brunei;Industrial Processes and Product Use;0.00000
1890;Brunei;Industrial Processes and Product Use;0.00005
1891;Brunei;Industrial Processes and Product Use;0.00005
1892;Brunei;Industrial Processes and Product Use;0.00005
1893;Brunei;Industrial Processes and Product Use;0.00005
1894;Brunei;Industrial Processes and Product Use;0.00005
1895;Brunei;Industrial Processes and Product Use;0.00005
1896;Brunei;Industrial Processes and Product Use;0.00005
1897;Brunei;Industrial Processes and Product Use;0.00005
1898;Brunei;Industrial Processes and Product Use;0.00005
1899;Brunei;Industrial Processes and Product Use;0.00005
1900;Brunei;Industrial Processes and Product Use;0.00005
1901;Brunei;Industrial Processes and Product Use;0.00005
1902;Brunei;Industrial Processes and Product Use;0.00005
1903;Brunei;Industrial Processes and Product Use;0.00005
1904;Brunei;Industrial Processes and Product Use;0.00005
1905;Brunei;Industrial Processes and Product Use;0.00005
1906;Brunei;Industrial Processes and Product Use;0.00005
1907;Brunei;Industrial Processes and Product Use;0.00005
1908;Brunei;Industrial Processes and Product Use;0.00005
1909;Brunei;Industrial Processes and Product Use;0.00005
1910;Brunei;Industrial Processes and Product Use;0.00005
1911;Brunei;Industrial Processes and Product Use;0.00005
1912;Brunei;Industrial Processes and Product Use;0.00005
1913;Brunei;Industrial Processes and Product Use;0.00005
1914;Brunei;Industrial Processes and Product Use;0.00005
1915;Brunei;Industrial Processes and Product Use;0.00005
1916;Brunei;Industrial Processes and Product Use;0.00005
1917;Brunei;Industrial Processes and Product Use;0.00005
1918;Brunei;Industrial Processes and Product Use;0.00005
1919;Brunei;Industrial Processes and Product Use;0.00005
1920;Brunei;Industrial Processes and Product Use;0.00005
1921;Brunei;Industrial Processes and Product Use;0.00006
1922;Brunei;Industrial Processes and Product Use;0.00006
1923;Brunei;Industrial Processes and Product Use;0.00006
1924;Brunei;Industrial Processes and Product Use;0.00006
1925;Brunei;Industrial Processes and Product Use;0.00006
1926;Brunei;Industrial Processes and Product Use;0.00006
1927;Brunei;Industrial Processes and Product Use;0.00006
1928;Brunei;Industrial Processes and Product Use;0.00006
1929;Brunei;Industrial Processes and Product Use;0.00006
1930;Brunei;Industrial Processes and Product Use;0.00006
1931;Brunei;Industrial Processes and Product Use;0.00006
1932;Brunei;Industrial Processes and Product Use;0.00006
1933;Brunei;Industrial Processes and Product Use;0.00006
1934;Brunei;Industrial Processes and Product Use;0.00006
1935;Brunei;Industrial Processes and Product Use;0.00006
1936;Brunei;Industrial Processes and Product Use;0.00006
1937;Brunei;Industrial Processes and Product Use;0.00007
1938;Brunei;Industrial Processes and Product Use;0.00007
1939;Brunei;Industrial Processes and Product Use;0.00007
1940;Brunei;Industrial Processes and Product Use;0.00007
1941;Brunei;Industrial Processes and Product Use;0.00007
1942;Brunei;Industrial Processes and Product Use;0.00008
1943;Brunei;Industrial Processes and Product Use;0.00009
1944;Brunei;Industrial Processes and Product Use;0.00011
1945;Brunei;Industrial Processes and Product Use;0.00013
1946;Brunei;Industrial Processes and Product Use;0.00016
1947;Brunei;Industrial Processes and Product Use;0.00019
1948;Brunei;Industrial Processes and Product Use;0.00022
1949;Brunei;Industrial Processes and Product Use;0.00025
1950;Brunei;Industrial Processes and Product Use;0.00029
1951;Brunei;Industrial Processes and Product Use;0.00035
1952;Brunei;Industrial Processes and Product Use;0.00044
1953;Brunei;Industrial Processes and Product Use;0.00055
1954;Brunei;Industrial Processes and Product Use;0.00070
1955;Brunei;Industrial Processes and Product Use;0.00087
1956;Brunei;Industrial Processes and Product Use;0.00106
1957;Brunei;Industrial Processes and Product Use;0.00127
1958;Brunei;Industrial Processes and Product Use;0.00151
1959;Brunei;Industrial Processes and Product Use;0.00176
1960;Brunei;Industrial Processes and Product Use;0.00202
1961;Brunei;Industrial Processes and Product Use;0.00233
1962;Brunei;Industrial Processes and Product Use;0.00271
1963;Brunei;Industrial Processes and Product Use;0.00316
1964;Brunei;Industrial Processes and Product Use;0.00369
1965;Brunei;Industrial Processes and Product Use;0.00429
1966;Brunei;Industrial Processes and Product Use;0.00496
1967;Brunei;Industrial Processes and Product Use;0.00571
1968;Brunei;Industrial Processes and Product Use;0.00652
1969;Brunei;Industrial Processes and Product Use;0.00742
1970;Brunei;Industrial Processes and Product Use;0.00614
1971;Brunei;Industrial Processes and Product Use;0.00637
1972;Brunei;Industrial Processes and Product Use;0.00722
1973;Brunei;Industrial Processes and Product Use;0.00745
1974;Brunei;Industrial Processes and Product Use;0.00769
1975;Brunei;Industrial Processes and Product Use;0.00794
1976;Brunei;Industrial Processes and Product Use;0.00818
1977;Brunei;Industrial Processes and Product Use;0.00843
1978;Brunei;Industrial Processes and Product Use;0.00868
1979;Brunei;Industrial Processes and Product Use;0.00893
1980;Brunei;Industrial Processes and Product Use;0.00793
1981;Brunei;Industrial Processes and Product Use;0.00878
1982;Brunei;Industrial Processes and Product Use;0.00900
1983;Brunei;Industrial Processes and Product Use;0.00922
1984;Brunei;Industrial Processes and Product Use;0.00945
1985;Brunei;Industrial Processes and Product Use;0.00969
1986;Brunei;Industrial Processes and Product Use;0.01050
1987;Brunei;Industrial Processes and Product Use;0.01020
1988;Brunei;Industrial Processes and Product Use;0.01050
1989;Brunei;Industrial Processes and Product Use;0.01140
1990;Brunei;Industrial Processes and Product Use;0.01160
1991;Brunei;Industrial Processes and Product Use;0.01010
1992;Brunei;Industrial Processes and Product Use;0.01240
1993;Brunei;Industrial Processes and Product Use;0.01300
1994;Brunei;Industrial Processes and Product Use;0.01470
1995;Brunei;Industrial Processes and Product Use;0.01780
1996;Brunei;Industrial Processes and Product Use;0.15400
1997;Brunei;Industrial Processes and Product Use;0.16600
1998;Brunei;Industrial Processes and Product Use;0.16100
1999;Brunei;Industrial Processes and Product Use;0.17700
2000;Brunei;Industrial Processes and Product Use;0.24400
2001;Brunei;Industrial Processes and Product Use;0.27100
2002;Brunei;Industrial Processes and Product Use;0.31300
2003;Brunei;Industrial Processes and Product Use;0.34800
2004;Brunei;Industrial Processes and Product Use;0.39200
2005;Brunei;Industrial Processes and Product Use;0.44200
2006;Brunei;Industrial Processes and Product Use;0.47300
2007;Brunei;Industrial Processes and Product Use;0.48900
2008;Brunei;Industrial Processes and Product Use;0.55000
2009;Brunei;Industrial Processes and Product Use;0.57700
2010;Brunei;Industrial Processes and Product Use;0.64300
2011;Brunei;Industrial Processes and Product Use;0.67300
2012;Brunei;Industrial Processes and Product Use;0.73100
2013;Brunei;Industrial Processes and Product Use;0.77100
2014;Brunei;Industrial Processes and Product Use;0.81400
2015;Brunei;Industrial Processes and Product Use;0.84200
2016;Brunei;Industrial Processes and Product Use;0.90500
2017;Brunei;Industrial Processes and Product Use;0.96100
2018;Brunei;Industrial Processes and Product Use;0.99600
1850;Brunei;Waste;0.00132
1851;Brunei;Waste;0.00132
1852;Brunei;Waste;0.00131
1853;Brunei;Waste;0.00131
1854;Brunei;Waste;0.00131
1855;Brunei;Waste;0.00131
1856;Brunei;Waste;0.00131
1857;Brunei;Waste;0.00130
1858;Brunei;Waste;0.00130
1859;Brunei;Waste;0.00130
1860;Brunei;Waste;0.00130
1861;Brunei;Waste;0.00130
1862;Brunei;Waste;0.00130
1863;Brunei;Waste;0.00130
1864;Brunei;Waste;0.00130
1865;Brunei;Waste;0.00130
1866;Brunei;Waste;0.00130
1867;Brunei;Waste;0.00130
1868;Brunei;Waste;0.00130
1869;Brunei;Waste;0.00130
1870;Brunei;Waste;0.00130
1871;Brunei;Waste;0.00130
1872;Brunei;Waste;0.00131
1873;Brunei;Waste;0.00132
1874;Brunei;Waste;0.00133
1875;Brunei;Waste;0.00134
1876;Brunei;Waste;0.00135
1877;Brunei;Waste;0.00137
1878;Brunei;Waste;0.00138
1879;Brunei;Waste;0.00139
1880;Brunei;Waste;0.00140
1881;Brunei;Waste;0.00141
1882;Brunei;Waste;0.00141
1883;Brunei;Waste;0.00142
1884;Brunei;Waste;0.00143
1885;Brunei;Waste;0.00144
1886;Brunei;Waste;0.00145
1887;Brunei;Waste;0.00146
1888;Brunei;Waste;0.00147
1889;Brunei;Waste;0.00148
1890;Brunei;Waste;0.00151
1891;Brunei;Waste;0.00153
1892;Brunei;Waste;0.00155
1893;Brunei;Waste;0.00157
1894;Brunei;Waste;0.00160
1895;Brunei;Waste;0.00162
1896;Brunei;Waste;0.00165
1897;Brunei;Waste;0.00167
1898;Brunei;Waste;0.00170
1899;Brunei;Waste;0.00172
1900;Brunei;Waste;0.00175
1901;Brunei;Waste;0.00178
1902;Brunei;Waste;0.00181
1903;Brunei;Waste;0.00184
1904;Brunei;Waste;0.00187
1905;Brunei;Waste;0.00190
1906;Brunei;Waste;0.00194
1907;Brunei;Waste;0.00197
1908;Brunei;Waste;0.00200
1909;Brunei;Waste;0.00204
1910;Brunei;Waste;0.00207
1911;Brunei;Waste;0.00210
1912;Brunei;Waste;0.00213
1913;Brunei;Waste;0.00216
1914;Brunei;Waste;0.00219
1915;Brunei;Waste;0.00223
1916;Brunei;Waste;0.00226
1917;Brunei;Waste;0.00230
1918;Brunei;Waste;0.00234
1919;Brunei;Waste;0.00239
1920;Brunei;Waste;0.00244
1921;Brunei;Waste;0.00252
1922;Brunei;Waste;0.00261
1923;Brunei;Waste;0.00273
1924;Brunei;Waste;0.00287
1925;Brunei;Waste;0.00303
1926;Brunei;Waste;0.00319
1927;Brunei;Waste;0.00337
1928;Brunei;Waste;0.00355
1929;Brunei;Waste;0.00374
1930;Brunei;Waste;0.00393
1931;Brunei;Waste;0.00412
1932;Brunei;Waste;0.00433
1933;Brunei;Waste;0.00455
1934;Brunei;Waste;0.00482
1935;Brunei;Waste;0.00505
1936;Brunei;Waste;0.00536
1937;Brunei;Waste;0.00576
1938;Brunei;Waste;0.00606
1939;Brunei;Waste;0.00855
1940;Brunei;Waste;0.00918
1941;Brunei;Waste;0.00865
1942;Brunei;Waste;0.00841
1943;Brunei;Waste;0.00944
1944;Brunei;Waste;0.01050
1945;Brunei;Waste;0.00960
1946;Brunei;Waste;0.01020
1947;Brunei;Waste;0.01470
1948;Brunei;Waste;0.01050
1949;Brunei;Waste;0.02130
1950;Brunei;Waste;0.01190
1951;Brunei;Waste;0.01230
1952;Brunei;Waste;0.01280
1953;Brunei;Waste;0.01330
1954;Brunei;Waste;0.01390
1955;Brunei;Waste;0.01430
1956;Brunei;Waste;0.01490
1957;Brunei;Waste;0.01540
1958;Brunei;Waste;0.01600
1959;Brunei;Waste;0.01660
1960;Brunei;Waste;0.01730
1961;Brunei;Waste;0.01790
1962;Brunei;Waste;0.01880
1963;Brunei;Waste;0.01960
1964;Brunei;Waste;0.02050
1965;Brunei;Waste;0.02140
1966;Brunei;Waste;0.02240
1967;Brunei;Waste;0.02320
1968;Brunei;Waste;0.02410
1969;Brunei;Waste;0.02500
1970;Brunei;Waste;0.02530
1971;Brunei;Waste;0.02800
1972;Brunei;Waste;0.02930
1973;Brunei;Waste;0.03080
1974;Brunei;Waste;0.03210
1975;Brunei;Waste;0.03360
1976;Brunei;Waste;0.03530
1977;Brunei;Waste;0.03650
1978;Brunei;Waste;0.03790
1979;Brunei;Waste;0.03960
1980;Brunei;Waste;0.04100
1981;Brunei;Waste;0.04250
1982;Brunei;Waste;0.04410
1983;Brunei;Waste;0.04540
1984;Brunei;Waste;0.04700
1985;Brunei;Waste;0.04880
1986;Brunei;Waste;0.05010
1987;Brunei;Waste;0.05150
1988;Brunei;Waste;0.05320
1989;Brunei;Waste;0.05500
1990;Brunei;Waste;0.05650
1991;Brunei;Waste;0.05860
1992;Brunei;Waste;0.06070
1993;Brunei;Waste;0.06270
1994;Brunei;Waste;0.06480
1995;Brunei;Waste;0.06660
1996;Brunei;Waste;0.06850
1997;Brunei;Waste;0.07040
1998;Brunei;Waste;0.07220
1999;Brunei;Waste;0.07450
2000;Brunei;Waste;0.07570
2001;Brunei;Waste;0.07770
2002;Brunei;Waste;0.08000
2003;Brunei;Waste;0.08210
2004;Brunei;Waste;0.08360
2005;Brunei;Waste;0.08480
2006;Brunei;Waste;0.08630
2007;Brunei;Waste;0.08780
2008;Brunei;Waste;0.08930
2009;Brunei;Waste;0.09050
2010;Brunei;Waste;0.09200
2011;Brunei;Waste;0.09380
2012;Brunei;Waste;0.09560
2013;Brunei;Waste;0.09720
2014;Brunei;Waste;0.09840
2015;Brunei;Waste;0.09980
2016;Brunei;Waste;0.10100
2017;Brunei;Waste;0.10300
2018;Brunei;Waste;0.10400
1850;Brunei;Agriculture;0.00356
1851;Brunei;Agriculture;0.00381
1852;Brunei;Agriculture;0.00406
1853;Brunei;Agriculture;0.00430
1854;Brunei;Agriculture;0.00454
1855;Brunei;Agriculture;0.00477
1856;Brunei;Agriculture;0.00499
1857;Brunei;Agriculture;0.00521
1858;Brunei;Agriculture;0.00542
1859;Brunei;Agriculture;0.00561
1860;Brunei;Agriculture;0.00580
1861;Brunei;Agriculture;0.00598
1862;Brunei;Agriculture;0.00615
1863;Brunei;Agriculture;0.00632
1864;Brunei;Agriculture;0.00649
1865;Brunei;Agriculture;0.00665
1866;Brunei;Agriculture;0.00681
1867;Brunei;Agriculture;0.00696
1868;Brunei;Agriculture;0.00711
1869;Brunei;Agriculture;0.00726
1870;Brunei;Agriculture;0.00740
1871;Brunei;Agriculture;0.00757
1872;Brunei;Agriculture;0.00780
1873;Brunei;Agriculture;0.00806
1874;Brunei;Agriculture;0.00835
1875;Brunei;Agriculture;0.00865
1876;Brunei;Agriculture;0.00895
1877;Brunei;Agriculture;0.00924
1878;Brunei;Agriculture;0.00950
1879;Brunei;Agriculture;0.00972
1880;Brunei;Agriculture;0.00989
1881;Brunei;Agriculture;0.01000
1882;Brunei;Agriculture;0.01010
1883;Brunei;Agriculture;0.01030
1884;Brunei;Agriculture;0.01040
1885;Brunei;Agriculture;0.01050
1886;Brunei;Agriculture;0.01060
1887;Brunei;Agriculture;0.01070
1888;Brunei;Agriculture;0.01070
1889;Brunei;Agriculture;0.01080
1890;Brunei;Agriculture;0.01170
1891;Brunei;Agriculture;0.01180
1892;Brunei;Agriculture;0.01190
1893;Brunei;Agriculture;0.01210
1894;Brunei;Agriculture;0.01230
1895;Brunei;Agriculture;0.01250
1896;Brunei;Agriculture;0.01280
1897;Brunei;Agriculture;0.01310
1898;Brunei;Agriculture;0.01340
1899;Brunei;Agriculture;0.01370
1900;Brunei;Agriculture;0.01400
1901;Brunei;Agriculture;0.01440
1902;Brunei;Agriculture;0.01470
1903;Brunei;Agriculture;0.01520
1904;Brunei;Agriculture;0.01560
1905;Brunei;Agriculture;0.01620
1906;Brunei;Agriculture;0.01670
1907;Brunei;Agriculture;0.01730
1908;Brunei;Agriculture;0.01800
1909;Brunei;Agriculture;0.01870
1910;Brunei;Agriculture;0.01940
1911;Brunei;Agriculture;0.02030
1912;Brunei;Agriculture;0.02140
1913;Brunei;Agriculture;0.02260
1914;Brunei;Agriculture;0.02400
1915;Brunei;Agriculture;0.02550
1916;Brunei;Agriculture;0.02700
1917;Brunei;Agriculture;0.02860
1918;Brunei;Agriculture;0.03010
1919;Brunei;Agriculture;0.03150
1920;Brunei;Agriculture;0.03280
1921;Brunei;Agriculture;0.03410
1922;Brunei;Agriculture;0.03560
1923;Brunei;Agriculture;0.03720
1924;Brunei;Agriculture;0.03880
1925;Brunei;Agriculture;0.04050
1926;Brunei;Agriculture;0.04200
1927;Brunei;Agriculture;0.04350
1928;Brunei;Agriculture;0.04470
1929;Brunei;Agriculture;0.04580
1930;Brunei;Agriculture;0.04650
1931;Brunei;Agriculture;0.04700
1932;Brunei;Agriculture;0.04740
1933;Brunei;Agriculture;0.04770
1934;Brunei;Agriculture;0.04790
1935;Brunei;Agriculture;0.04800
1936;Brunei;Agriculture;0.04800
1937;Brunei;Agriculture;0.04800
1938;Brunei;Agriculture;0.04800
1939;Brunei;Agriculture;0.04790
1940;Brunei;Agriculture;0.04790
1941;Brunei;Agriculture;0.04870
1942;Brunei;Agriculture;0.05090
1943;Brunei;Agriculture;0.05410
1944;Brunei;Agriculture;0.05800
1945;Brunei;Agriculture;0.06220
1946;Brunei;Agriculture;0.06650
1947;Brunei;Agriculture;0.07040
1948;Brunei;Agriculture;0.07360
1949;Brunei;Agriculture;0.07590
1950;Brunei;Agriculture;0.07680
1951;Brunei;Agriculture;0.07720
1952;Brunei;Agriculture;0.07790
1953;Brunei;Agriculture;0.07900
1954;Brunei;Agriculture;0.08030
1955;Brunei;Agriculture;0.08170
1956;Brunei;Agriculture;0.08320
1957;Brunei;Agriculture;0.08470
1958;Brunei;Agriculture;0.08600
1959;Brunei;Agriculture;0.08720
1960;Brunei;Agriculture;0.08820
1961;Brunei;Agriculture;0.09470
1962;Brunei;Agriculture;0.09590
1963;Brunei;Agriculture;0.09170
1964;Brunei;Agriculture;0.08390
1965;Brunei;Agriculture;0.08110
1966;Brunei;Agriculture;0.08840
1967;Brunei;Agriculture;0.09400
1968;Brunei;Agriculture;0.09710
1969;Brunei;Agriculture;0.09990
1970;Brunei;Agriculture;0.10100
1971;Brunei;Agriculture;0.09700
1972;Brunei;Agriculture;0.09430
1973;Brunei;Agriculture;0.09330
1974;Brunei;Agriculture;0.10100
1975;Brunei;Agriculture;0.09890
1976;Brunei;Agriculture;0.09700
1977;Brunei;Agriculture;0.09410
1978;Brunei;Agriculture;0.09180
1979;Brunei;Agriculture;0.09110
1980;Brunei;Agriculture;0.09150
1981;Brunei;Agriculture;0.09180
1982;Brunei;Agriculture;0.09050
1983;Brunei;Agriculture;0.08980
1984;Brunei;Agriculture;0.09130
1985;Brunei;Agriculture;0.08700
1986;Brunei;Agriculture;0.07430
1987;Brunei;Agriculture;0.07940
1988;Brunei;Agriculture;0.07880
1989;Brunei;Agriculture;0.07660
1990;Brunei;Agriculture;0.07950
1991;Brunei;Agriculture;0.08050
1992;Brunei;Agriculture;0.08190
1993;Brunei;Agriculture;0.07200
1994;Brunei;Agriculture;0.07330
1995;Brunei;Agriculture;0.07370
1996;Brunei;Agriculture;0.07400
1997;Brunei;Agriculture;0.08390
1998;Brunei;Agriculture;0.08910
1999;Brunei;Agriculture;0.09760
2000;Brunei;Agriculture;0.10400
2001;Brunei;Agriculture;0.10900
2002;Brunei;Agriculture;0.10500
2003;Brunei;Agriculture;0.11100
2004;Brunei;Agriculture;0.11400
2005;Brunei;Agriculture;0.10900
2006;Brunei;Agriculture;0.11500
2007;Brunei;Agriculture;0.12200
2008;Brunei;Agriculture;0.12100
2009;Brunei;Agriculture;0.12100
2010;Brunei;Agriculture;0.12700
2011;Brunei;Agriculture;0.11900
2012;Brunei;Agriculture;0.13000
2013;Brunei;Agriculture;0.13400
2014;Brunei;Agriculture;0.12500
2015;Brunei;Agriculture;0.12600
2016;Brunei;Agriculture;0.12800
2017;Brunei;Agriculture;0.12600
2018;Brunei;Agriculture;0.12000
1850;Brunei;Other;0.00000
1851;Brunei;Other;0.00007
1852;Brunei;Other;0.00014
1853;Brunei;Other;0.00021
1854;Brunei;Other;0.00028
1855;Brunei;Other;0.00035
1856;Brunei;Other;0.00042
1857;Brunei;Other;0.00049
1858;Brunei;Other;0.00056
1859;Brunei;Other;0.00063
1860;Brunei;Other;0.00070
1861;Brunei;Other;0.00077
1862;Brunei;Other;0.00084
1863;Brunei;Other;0.00092
1864;Brunei;Other;0.00099
1865;Brunei;Other;0.00106
1866;Brunei;Other;0.00113
1867;Brunei;Other;0.00120
1868;Brunei;Other;0.00127
1869;Brunei;Other;0.00134
1870;Brunei;Other;0.00141
1871;Brunei;Other;0.00148
1872;Brunei;Other;0.00155
1873;Brunei;Other;0.00162
1874;Brunei;Other;0.00169
1875;Brunei;Other;0.00176
1876;Brunei;Other;0.00183
1877;Brunei;Other;0.00190
1878;Brunei;Other;0.00197
1879;Brunei;Other;0.00204
1880;Brunei;Other;0.00211
1881;Brunei;Other;0.00218
1882;Brunei;Other;0.00225
