Year;Country;Emission
1850;Brunei;0.09
1851;Brunei;0.09
1852;Brunei;0.09
1853;Brunei;0.09
1854;Brunei;0.09
1855;Brunei;0.09
1856;Brunei;0.1
1857;Brunei;0.1
1858;Brunei;0.1
1859;Brunei;0.1
1860;Brunei;0.1
1861;Brunei;0.1
1862;Brunei;0.1
1863;Brunei;0.1
1864;Brunei;0.1
1865;Brunei;0.1
1866;Brunei;0.1
1867;Brunei;0.1
1868;Brunei;0.1
1869;Brunei;0.11
1870;Brunei;0.11
1871;Brunei;0.11
1872;Brunei;0.11
1873;Brunei;0.11
1874;Brunei;0.11
1875;Brunei;0.11
1876;Brunei;0.11
1877;Brunei;0.11
1878;Brunei;0.11
1879;Brunei;0.11
1880;Brunei;0.12
1881;Brunei;0.12
1882;Brunei;0.12
1883;Brunei;0.12
1884;Brunei;0.12
1885;Brunei;0.12
1886;Brunei;0.12
1887;Brunei;0.12
1888;Brunei;0.12
1889;Brunei;0.12
1890;Brunei;0.15
1891;Brunei;0.15
1892;Brunei;0.15
1893;Brunei;0.15
1894;Brunei;0.15
1895;Brunei;0.15
1896;Brunei;0.15
1897;Brunei;0.15
1898;Brunei;0.15
1899;Brunei;0.15
1900;Brunei;0.15
1901;Brunei;0.16
1902;Brunei;0.19
1903;Brunei;0.23
1904;Brunei;0.28
1905;Brunei;0.34
1906;Brunei;0.41
1907;Brunei;0.48
1908;Brunei;0.56
1909;Brunei;0.63
1910;Brunei;0.7
1911;Brunei;0.77
1912;Brunei;0.84
1913;Brunei;0.91
1914;Brunei;0.98
1915;Brunei;1.06
1916;Brunei;1.15
1917;Brunei;1.26
1918;Brunei;1.36
1919;Brunei;1.47
1920;Brunei;1.6
1921;Brunei;1.75
1922;Brunei;1.92
1923;Brunei;2.12
1924;Brunei;2.34
1925;Brunei;2.59
1926;Brunei;2.87
1927;Brunei;3.19
1928;Brunei;3.54
1929;Brunei;3.94
1930;Brunei;4.37
1931;Brunei;5.09
1932;Brunei;6.25
1933;Brunei;7.74
1934;Brunei;9.47
1935;Brunei;11.26
1936;Brunei;12.96
1937;Brunei;14.66
1938;Brunei;15.96
1939;Brunei;19.26
1940;Brunei;19.86
1941;Brunei;18.56
1942;Brunei;17.07
1943;Brunei;16.67
1944;Brunei;15.88
